% 1. Title: 1,2,3 Binary formatted numbers Database 
% 
% 2. Info: 
%      This dataset was generated using a web based application. 
%      It is composed of binary data arranged by a 6x6 matrix. 
%      It was developed for the WEKA interface. 
%      This dataset aims to train a multilayer perceptron (MLP), deep artificial neural network. 
%      The goal is to recognize 1,2,3 characters expressed by a 6x6 matrix in black or white pixels. 
% 
% 3. Sources: 
%      (a) Creator: xxxxx xxxxx xxxx 
%      (b) Open source dataset generator tool: https://github.com/EduardoArtioli/generator 
%      (c) Web based tool creator: Eduardo Artioli , artioli1@hotmail.com 
%      (d) Review: Michael da Costa Mora 
%      (e) Date: November, 2018 

@RELATION 6x6number 

@ATTRIBUTE bit0 {0,1} 
@ATTRIBUTE bit1 {0,1} 
@ATTRIBUTE bit2 {0,1} 
@ATTRIBUTE bit3 {0,1} 
@ATTRIBUTE bit4 {0,1} 
@ATTRIBUTE bit5 {0,1} 
@ATTRIBUTE bit6 {0,1} 
@ATTRIBUTE bit7 {0,1} 
@ATTRIBUTE bit8 {0,1} 
@ATTRIBUTE bit9 {0,1} 
@ATTRIBUTE bit10 {0,1} 
@ATTRIBUTE bit11 {0,1} 
@ATTRIBUTE bit12 {0,1} 
@ATTRIBUTE bit13 {0,1} 
@ATTRIBUTE bit14 {0,1} 
@ATTRIBUTE bit15 {0,1} 
@ATTRIBUTE bit16 {0,1} 
@ATTRIBUTE bit17 {0,1} 
@ATTRIBUTE bit18 {0,1} 
@ATTRIBUTE bit19 {0,1} 
@ATTRIBUTE bit20 {0,1} 
@ATTRIBUTE bit21 {0,1} 
@ATTRIBUTE bit22 {0,1} 
@ATTRIBUTE bit23 {0,1} 
@ATTRIBUTE bit24 {0,1} 
@ATTRIBUTE bit25 {0,1} 
@ATTRIBUTE bit26 {0,1} 
@ATTRIBUTE bit27 {0,1} 
@ATTRIBUTE bit28 {0,1} 
@ATTRIBUTE bit29 {0,1} 
@ATTRIBUTE bit30 {0,1} 
@ATTRIBUTE bit31 {0,1} 
@ATTRIBUTE bit32 {0,1} 
@ATTRIBUTE bit33 {0,1} 
@ATTRIBUTE bit34 {0,1} 
@ATTRIBUTE bit35 {0,1} 
@ATTRIBUTE class {Number-one,Number-two,Number-tree,None} 

@DATA 
% Exemple: 

% 1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Number-one 
% 0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Number-one 
% 0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Number-one 
% 0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Number-one 
% 0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Number-one 
% 0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Number-one 
% 0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Number-one 
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Number-two
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Number-two
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Number-two
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Number-two
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Number-two
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Number-two
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Number-two
0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Number-two
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Number-two
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,Number-two
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,Number-two
1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,Number-two
1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,Number-two
1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,Number-two
1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Number-two
